Code,Longitude,Latitude
BHM1,-87.009997,33.3754879
DPX3,-111.8411884,33.3060861
PHX6,-112.1647528,33.43253
PHX7,-112.2253997,33.4570786
PHX9,-112.2272822,33.441043
RPX1,-112.0735465,33.4066369
TFC1,-112.1594932,33.43118
CCO1,-117.217543,34.121136
DCK1,-121.1912779,37.797596
DLA2,-118.0072962,33.880236
DLA3,-118.1470977,34.0051435
DLA4,-118.5849647,34.2346892
DLA8,-118.3231704,33.9165486
DLA9,-117.8129389,33.6818702
DSD2,-117.2563286,33.1314972
DSF3,-121.8983239,37.4032256
DSF4,-122.148687,37.713455
DSF5,-122.3967644,37.646146
DSF6,-122.3522841,37.9818571
DSM1,-121.5302634,38.5806189
FAT1,-119.7657314,36.6836906
FCA4,-117.8129389,33.6818702
FCA7,-122.0370088,37.3690182
FCA8,-122.2609013,37.8713321
FJC9,-122.3997328,37.6807266
HLA3,-117.2381747,33.8720683
KRB1,-117.2732931,34.0783622
LAX6,-118.1837278,33.9942005
LGB4,-117.2038977,34.079548
LGB6,-117.2990608,33.8798312
LGB7,-117.4097201,34.1216353
LGB8,-117.4054851,34.1294004
LGB9,-117.2229536,33.849814
OAK4,-121.4059622,37.7451879
OAK6,-122.0153818,37.5196836
OAK7,-122.0153818,37.5196836
OAK8,-122.2643718,38.2047764
ONT6,-117.2381747,33.8720683
ONT8,-117.2371219,33.868292
RCA1,-122.4232865,37.7718953
RCA4,-117.8129389,33.6818702
RCA6,-117.1606319,32.7156979
RCA8,-122.2609013,37.8713321
SCK1,-121.2022166,37.9133861
SJC7,-121.5293522,37.7250331
SNA7,-117.2732931,34.0783622
SNA8,-117.2732931,34.0783622
TBD,-121.1975592,37.9141548
UCA1,-122.3899773,37.7607987
UCA2,-118.3845942,33.8398289
UCA4,-117.8456695,33.6899248
UCA5,-118.2722179,34.0833494
UCA6,-117.201052,32.749895
UCA7,-122.0075467,37.378595
UCA9,-121.4163435,38.5474659
VUBD,-117.3653268,34.5741428
VUKF,-118.2425738,33.8660678
VUMX,-118.2507086,33.7908693
XUSD,-121.2504043,37.9166607
XUSJ,-117.4249567,34.1271468
XUSV,-117.1254349,34.077302
DEN2,-104.7101962,39.7436473
DEN3,-104.9819007,39.9604948
DEN6,-104.981048,39.7945205
FCO4,-104.9910938,39.7391847
BDL1,-72.694975,41.876107
BDL2,-72.8463938,41.4133111
DBO3,-73.0632748,41.2306417
DCN1,-73.2611666,41.1407134
RVA1,-77.0206213,38.9771774
PHL1,-75.590196,39.6639211
PHL3,-75.5877591,39.6621118
PHL7,-75.7382873,39.4502985
DM01,-81.4164403,28.4505446
DM11,-80.2266213,25.9170587
DMI2,-80.305033,25.806567
DMI3,-80.3023661,25.8107679
DSR1,-82.530838,27.336378
DTP1,-82.2860145,27.9378248
FFL1,-80.3651917,25.8115664
FFL2,-80.1910293,25.7652047
FMI3,-80.3023661,25.8107679
JAX1,-81.6802939,30.4653236
LAL1,-82.0560095,27.9984457
MCO1,-81.3123152,28.3861283
MIA1,-80.2602148,25.9029735
MIA6,-80.305033,25.806567
PFL1,-82.5541985,27.4881544
RFL1,-80.1910293,25.7652047
RFL3,-82.4569134,27.9508805
RMI1,-80.3396445,25.7228034
TPA1,-82.3926888,27.7241757
TPA2,-82.0560095,27.9984457
UFL4,-81.4384801,28.4623055
ATL7,-84.5394174,33.5698201
CGA2,-84.3969404,33.8080566
DAT3,-84.4795443,33.6221996
MGE1,-83.7719226,34.1064981
MGE7,-83.7719226,34.1064981
RAT2,-84.3881711,33.7490553
RGA2,-84.3881711,33.7490553
UGA1,-84.3898151,33.7544657
UGA2,-84.3898151,33.7544657
VUAT,-84.5394174,33.5698201
VUKG,-84.5099435,33.6524961
VUPN,-84.1876599,33.4053172
VUPK,-84.5219874,33.5713384
DCH2,-87.7765484,42.0296851
DCH3,-88.0972517,41.8032687
DCH4,-88.0038881,42.2630044
DHO1,-87.9387683,41.7680821
HIL2,-87.6532767,41.9026967
HMW1,-88.2083868,41.3378468
MDW4,-88.074674,41.4868153
MDW6,-88.1177067,41.6740688
MDW7,-87.7707331,41.4267577
MDW9,-88.2127874,41.8149559
MDWY,-88.2084482,41.7780677
MDWZ,-88.2084482,41.7780677
STL4,-90.0406468,38.7718709
STL6,-90.0770505,38.784143
STL7,-90.0770505,38.784143
TBD3,-88.0648709,41.4811467
TBD7,-87.6835193,41.8404011
VUOK,-88.1154821,41.4039834
DIN1,-86.1575739,39.7689086
IND1,-86.3796545,39.9796754
IND2,-86.3462687,39.7083709
IND3,-86.346269,39.7083854
IND4,-86.2890998,39.7546832
IND6,-85.7284487,38.2890898
PISA,-85.6867886,38.3787641
SDF8,-85.6867886,38.3787641
VUHA,-87.3758337,41.598355
MCI7,-94.901618,38.8453992
MKC6,-94.7391231,39.0969897
XUSK,-94.9508048,38.7726589
CVG1,-84.713478,39.0846526
CVG2,-84.7258207,39.0874404
CVG3,-84.7135128,39.060182
IVSA,-84.6185606,39.0426606
LEX1,-84.5296355,38.0772432
LEX3,-84.5331091,38.0778404
PICV,-84.713478,39.0846526
PISC,-85.6833752,37.9781109
SDF1,-85.3527161,37.3260633
SDF2,-85.6927171,38.1951343
SDF6,-85.6833752,37.9781109
SDF7,-85.6758389,37.9638738
BWI0,-76.5446963,39.2679483
DBA1,-76.5652993,39.2928114
DCA1,-76.4690456,39.2224691
DDC2,-77.1371298,39.0982234
SUOC,-76.8106627,39.1303392
BOS7,-71.1001379,41.7621205
DB01,-71.0532586,42.3936942
DB02,-71.1399363,42.2331845
DBO2,-71.16778,42.243532
RMA3,-71.0745156,42.3401915
UMA3,-71.0756619,42.3341415
Illinois,-88.2292149,40.1082137
DET2,-83.0497235,42.6660889
DTW2,-83.3616788,42.2506052
GRR1,-85.5505083,42.8383498
DET1,-83.4288557,42.3743432
DTW1,-83.4288557,42.3743432
DMS1,-93.1670704,44.8043342
MSP1,-93.4887011,44.8006182
UMN1,-93.2148034,44.9815715
DLI1,-90.1994026,38.6268322
LAS1,-115.1519414,35.9651878
LAS6,-115.0742947,36.2669501
LAS7,-115.0409794,36.2659488
RNO4,-119.8484197,39.6038349
RNV1,-115.144355,36.172234
BOS1,-71.5294644,42.7919638
ACY1,-75.2196549,39.8269015
DEW1,-74.052889,40.8337
EWR1,-74.5652478,40.1956131
EWR4,-74.5652478,40.1956131
EWR6,-74.2654673,40.5858949
EWR7,-74.2654673,40.5858949
EWR8,-74.0609685,40.8634776
LGA7,-74.2205866,40.5693473
LGA8,-74.2205866,40.5693473
TBDB,-74.052889,40.8337
UNJ1,-74.0370264,40.7493883
DYY6,-74.1780195,40.6194321
JFK7,-73.9855329,40.7490225
JFK8,-74.1780195,40.6194321
UNY1,-73.9443131,40.677596
CLT2,-80.9684021,35.2291786
CLT3,-80.6556031,35.4350869
CLT4,-80.9638496,35.2444309
RDU1,-78.5876153,35.7163719
UNC2,-78.6133344,35.8237397
CLE3,-81.5120833,41.5934082
CMH2,-82.9250056,39.8424566
DCL1,-81.526769,41.6088732
LCK1,-82.9507363,39.8789527
TBD9,-82.9302487,39.8881075
UOH2,-83.1012042,39.9726944
OKC1,-97.5810762,35.37412
DP01,-122.674194,45.5202471
PDX6,-122.7682734,45.633331
PDX9,-122.4011728,45.5532
UOR1,-122.6963854,45.5388623
ABE1,-75.6152617,40.5578779
ABE3,-75.6218393,40.55626
AVP2,-75.496576,41.275108
AVP3,-75.496576,41.275108
AVP6,-75.740208,41.312211
DEW4,-74.9255184,40.1739525
DMC1,-75.0852748,41.0396266
DPH1,-75.0774104,39.9943943
PHL4,-77.1143716,40.226225
PHL6,-77.2400388,40.1876859
PIT1,-80.0835228,40.4426088
VUAV,-75.740208,41.312211
VUGA,-75.8046161,41.3305265
VUGP,-77.494465,40.0591532
XUSC,-77.2259457,40.1889245
XUSG,-75.7007627,40.5853195
CHS1,-80.0614388,32.9247852
GSP1,-82.0356262,35.0082759
BNA1,-86.4071067,36.1333958
BNA2,-86.4050396,36.1273155
BNA3,-86.3626718,35.781024
MEM1,-89.9497628,35.0082831
MEM5,-89.907925,35.0135409
RTN1,-86.781619,36.162699
UTN1,-86.781619,36.162699
