Location,Code,Type,Address
Alabama,BHM1,FC,"975 Powder Plant Rd, Bessemer, AL 35022, United States"
Alabama,DPX7,,"3405 S. McQueen Rd, Chandler, AZ"
Alabama,MOB5,DC,"6735 Trippel Rd, Theodore, AL 36582, United States"
Alabama,MOB9,,"6735 Trippel Rd., Theodore, AL"
Alabama,SUHB,,"4675 Appaloosa Dr, Irondale, AL"
Alabama,SUHD,,"4675 Appaloosa Drive, Irondale, AL"
Arizona,SAZ1,FC,"3333 S 7th St., Phoenix, AZ 850401182 , Maricopa County"
Arizona,TUS1,Reverse Logistics,"533 W Lower Buckeye Rd, Phoenix, Arizona, 85043 , Maricopa County"
Arizona,TUS2,FC,"6701 S. Kolb Rd., Tucson, AZ 85756 , Pima County"
Arizona,AZA4,,"3333 S 59th Ave, Phoenix, Arizona"
Arizona,AZA5,,"6000 W Van Buren St., Phoenix, Arizona"
Arizona,AZA6,,"2150 East Riverview Drive, Phoenix, Arizona"
Arizona,DPX1,FC,"500 S. 48th Street, Phoenix, AZ 85034"
Arizona,DPX3,FC,"7 E Chandler Blvd, Chandler, AZ 85225"
Arizona,DPX8,,"7875 W Buckeye Rd, Phoenix, AZ"
Arizona,DTU8,,"3003 S 38th St, Phoenix, AZ"
Arizona,GYR4,,"10205 W Roosevelt St, Avondale, AZ"
Arizona,PHX3,FC,"6835 W. Buckeye Rd. Phoenix, AZ, 85043"
Arizona,PHX5,FC,"16920 W. Commerce Drive, Goodyear, AZ 85338"
Arizona,PHX6,FC,"4750 W. Mohave Street, Phoenix, AZ 85043"
Arizona,PHX7,FC,"800 N. 75th Avenue, Phoenix, AZ 85043"
Arizona,PHX8,FC,"800 N. 75th Ave Phoenix, AZ, 85043 – Maricopa County"
Arizona,PHX9,FC,"777 S 79th Avenue, Tolleson, Maricopa County, AZ 85353 Arizona"
Arizona,RAZ1,FC,"22 W Washington St, Phoenix, AZ 85004"
Arizona,RPX1,FC,"7 W Broadway Rd, Phoenix, AZ 85040"
Arizona,SUBJ,,"1104 W Geneva Dr, Tempe, AZ"
Arizona,,,"1104 W Geneva Dr, Tempe, AZ"
Arizona,SUPR,,"9414 E San Salvador Dr, Scottsdale, AZ"
Arizona,TAZ1,,"500 S 48th St, Phoenix, AZ"
Arizona,TFC1,FC,"5050 W. Mohave Street, Phoenix, AZ 85043"
Arizona,UAZ1,FC,"Phoenix, AZ 85001"
Arizona,XUSH,FC,"7037 West Van Buren Street, Pheonix, AZ 85043"
California,ONT3,FC,"1910 & 2020 E Central Ave. San Bernardino, CA, 92408 – San Bernardino County"
California,ONT4,FC,"1910 & 2020 E Central Ave. San Bernardino, CA, 92408 – San Bernardino County"
California,ABE7,FC,"12510 Micro Dr, Mira Loma, CA 91752"
California,BEK1,,"2495 Bancroft Way Room 235, MLK Student Union Building, Berkeley,"
California,BEK1,,"2495 Bancroft Way Room 235, MLK Student Union Building, Berkeley,"
